CustomerID,Age,Gender,MaritalStatus,AnnualIncome (USD),TotalPurchases,PreferredCategory
1103,47,Male,Married,74500,6,Appliances
1104,42,Male,Divorced,59041,26,Electronics
1105,35,Male,Single,73655,12,Appliances
1106,58,Male,Divorced,52037,17,Appliances
1107,62,Male,Divorced,40011,8,Appliances
1108,53,Female,Married,96910,4,Appliances
1109,32,Male,Single,112998,7,Electronics
1110,61,Female,Divorced,44945,26,Appliances
1111,38,Female,Married,99547,5,Appliances
1112,67,Male,Married,96840,8,Electronics
1113,67,Female,Single,55415,26,Electronics
1114,21,Female,Divorced,75793,16,Electronics
1115,32,Female,Single,76019,1,Appliances
1116,70,Male,Single,114599,12,Appliances
1117,20,Male,Single,49358,18,Electronics
1118,69,Male,Divorced,60968,19,Appliances
1119,38,Male,Married,43474,12,Appliances
1120,43,Female,Single,49194,15,Electronics
1121,35,Male,Single,63550,26,Appliances
1122,22,Male,Divorced,55856,18,Appliances
1123,31,Female,Divorced,52740,5,Electronics
1124,54,Male,Married,108957,20,Electronics
1125,63,Male,Married,50036,29,Electronics
1126,38,Male,Single,115918,3,Appliances
1127,31,Female,Single,39876,3,Electronics
1128,59,Male,Divorced,53218,10,Appliances
1129,49,Female,Single,112306,13,Appliances
1130,43,Female,Divorced,94764,23,Appliances
1131,59,Female,Single,90811,24,Appliances
1132,47,Female,Divorced,103889,16,Electronics
1133,27,Female,Single,105952,17,Electronics
1134,34,Male,Single,88838,14,Electronics
1135,26,Female,Single,119277,25,Appliances
1136,33,Female,Married,103989,14,Appliances
1137,65,Female,Single,114278,27,Electronics
1138,53,Male,Single,113269,19,Electronics
1139,52,Female,Married,111857,3,Electronics
1140,34,Female,Married,72363,5,Electronics
1141,65,Male,Single,112210,11,Electronics
1142,55,Female,Divorced,71436,21,Electronics
1143,45,Female,Single,49786,3,Appliances
1144,55,Male,Divorced,87640,15,Appliances
1145,43,Female,Single,38950,15,Electronics
1146,41,Male,Divorced,91462,22,Electronics
1147,32,Female,Single,87961,17,Appliances
1148,26,Female,Married,112756,12,Electronics
1149,50,Female,Divorced,69691,5,Appliances
1150,49,Male,Single,66002,29,Electronics
1151,23,Male,Single,107518,27,Appliances
1152,66,Male,Married,37362,25,Electronics
1153,21,Male,Divorced,76129,18,Appliances
1154,25,Female,Divorced,96497,21,Appliances
1155,27,Male,Divorced,39724,19,Electronics
1156,58,Male,Married,70685,6,Appliances
1157,28,Male,Divorced,90521,25,Appliances
1158,68,Female,Divorced,89233,5,Electronics
1159,61,Female,Single,34929,14,Appliances
1160,45,Female,Single,37456,17,Appliances
1161,56,Female,Married,78331,30,Electronics
1162,22,Female,Divorced,67627,28,Electronics
1163,42,Male,Single,40057,2,Electronics
1164,42,Male,Married,114497,27,Electronics
1165,56,Female,Divorced,41835,4,Appliances
1166,47,Female,Married,110610,17,Appliances
1167,51,Male,Divorced,107867,5,Electronics
1168,34,Female,Single,96462,10,Electronics
1169,53,Female,Divorced,80394,6,Electronics
1170,18,Male,Divorced,90648,6,Appliances
1171,61,Female,Divorced,106064,11,Electronics
1172,64,Female,Divorced,102655,30,Appliances
1173,25,Female,Married,35376,23,Appliances
1174,61,Female,Divorced,88947,8,Electronics
1175,52,Male,Married,104928,12,Electronics
1176,66,Female,Divorced,115437,17,Appliances
1177,35,Male,Divorced,54672,29,Appliances
1178,67,Female,Married,72143,10,Appliances
1179,59,Female,Single,109299,28,Appliances
1180,39,Female,Single,92341,3,Appliances
1181,25,Male,Married,95715,9,Appliances
1182,36,Female,Divorced,49773,7,Electronics
1183,45,Female,Single,38109,21,Electronics
1184,28,Female,Divorced,89050,18,Appliances
1185,47,Male,Married,43566,9,Electronics
1186,18,Female,Married,75015,5,Electronics
1187,64,Male,Single,41053,21,Appliances
1188,64,Male,Single,96132,10,Electronics
1189,34,Female,Divorced,114689,20,Electronics
1190,50,Male,Single,52617,18,Electronics
1191,66,Male,Married,35130,3,Electronics
1192,29,Female,Married,62472,17,Appliances
1193,50,Male,Married,87377,21,Appliances
1194,24,Female,Divorced,87595,6,Appliances
1195,58,Male,Single,98690,19,Appliances
1196,37,Male,Divorced,98517,19,Electronics
1197,58,Female,Divorced,109928,5,Electronics
1198,50,Female,Single,50807,6,Appliances
1199,56,Female,Married,77696,22,Appliances
1200,30,Male,Single,78870,20,Electronics
1201,27,Female,Single,67079,24,Appliances
1202,41,Female,Single,80779,29,Electronics
1203,66,Female,Divorced,83578,20,Electronics
1204,28,Female,Single,74350,11,Electronics
1205,52,Female,Married,118984,27,Appliances
1206,67,Female,Single,108366,30,Electronics
1207,51,Female,Married,36863,19,Electronics
1208,18,Male,Married,112691,2,Electronics
1209,56,Female,Married,114843,27,Electronics
1210,38,Male,Divorced,73863,28,Electronics
1211,49,Male,Divorced,38639,1,Electronics
1212,19,Female,Divorced,73213,3,Appliances
1213,25,Male,Single,42387,2,Electronics
1214,41,Male,Divorced,103133,21,Electronics
1215,69,Male,Single,118916,25,Electronics
1216,37,Male,Married,80667,19,Appliances
1217,33,Male,Single,67243,9,Appliances
1218,21,Male,Married,63029,21,Electronics
1219,33,Male,Single,116057,7,Electronics
1220,54,Male,Divorced,108997,25,Electronics
1221,23,Male,Married,49709,19,Electronics
1222,23,Male,Single,73694,14,Appliances
1223,64,Female,Single,40682,20,Electronics
1224,49,Male,Divorced,106380,21,Appliances
1225,70,Male,Divorced,116980,1,Appliances
1226,22,Female,Divorced,48537,16,Electronics
1227,66,Female,Single,75851,29,Appliances
1228,52,Female,Divorced,70662,21,Electronics
1229,67,Male,Single,115990,18,Electronics
1230,26,Male,Divorced,116787,10,Appliances
1231,26,Male,Single,81374,21,Appliances
1232,60,Female,Married,46901,10,Appliances
1233,48,Male,Divorced,107993,16,Electronics
1234,53,Male,Married,41104,8,Electronics
1235,28,Female,Single,70577,26,Appliances
1236,34,Female,Married,103259,26,Appliances
1237,51,Female,Divorced,79372,22,Electronics
1238,56,Male,Divorced,114343,13,Appliances
1239,45,Male,Single,73054,10,Appliances
1240,31,Male,Divorced,46750,15,Appliances
1241,52,Male,Married,117833,3,Appliances
1242,66,Female,Divorced,119838,23,Appliances
1243,64,Male,Married,98995,2,Electronics
1244,62,Male,Divorced,42249,6,Appliances
1245,30,Female,Single,114675,15,Appliances
1246,63,Female,Divorced,117878,14,Electronics
1247,37,Female,Single,85496,16,Appliances
1248,43,Male,Divorced,96648,15,Electronics
1249,60,Female,Single,77425,7,Electronics
1250,59,Male,Married,32389,11,Appliances
1251,41,Female,Married,77526,20,Electronics
1252,46,Female,Married,70483,5,Appliances
1253,51,Male,Married,53627,11,Electronics
1254,46,Female,Single,58074,28,Appliances
1255,25,Female,Single,74791,23,Appliances
1256,33,Female,Married,93736,11,Electronics
1257,32,Male,Married,55166,24,Appliances
1258,22,Female,Married,59693,28,Electronics
1259,39,Male,Divorced,48030,12,Appliances
1260,19,Female,Married,50308,13,Electronics
1261,55,Female,Single,40114,5,Appliances
1262,53,Female,Single,68770,25,Electronics
1263,32,Female,Single,43256,12,Appliances
1264,55,Female,Divorced,96543,17,Appliances
1265,32,Female,Divorced,100748,18,Electronics
1266,18,Male,Divorced,99013,4,Electronics
1267,22,Male,Divorced,34947,11,Electronics
1268,63,Female,Single,116760,8,Appliances
1269,58,Female,Divorced,74140,15,Appliances
1270,21,Male,Divorced,111006,4,Electronics
1271,32,Female,Divorced,47176,9,Electronics
1272,22,Female,Married,108282,15,Electronics
1273,20,Female,Single,79377,8,Electronics
1274,39,Male,Divorced,50218,5,Appliances
1275,22,Female,Married,51266,4,Electronics
1276,50,Female,Single,53703,2,Appliances
1277,33,Male,Divorced,111885,10,Appliances
1278,35,Female,Single,51697,13,Electronics
1279,60,Male,Single,87366,28,Electronics
1280,49,Female,Married,35726,20,Electronics
1281,31,Female,Divorced,83852,14,Electronics
1282,52,Female,Single,77749,8,Appliances
1283,26,Female,Married,118652,28,Electronics
1284,64,Female,Single,61133,29,Electronics
1285,54,Male,Single,88222,6,Appliances
1286,54,Male,Married,110031,27,Electronics
1287,48,Male,Single,67346,11,Appliances
1288,33,Male,Married,88841,30,Appliances
1289,68,Female,Divorced,60671,19,Appliances
1290,48,Female,Single,99993,24,Appliances
1291,69,Male,Divorced,61348,11,Appliances
1292,44,Female,Divorced,70562,7,Appliances
1293,30,Female,Single,91474,25,Appliances
1294,24,Female,Married,55430,6,Appliances
1295,24,Male,Single,78213,16,Appliances
1296,60,Male,Single,118907,17,Appliances
1297,45,Female,Married,104766,15,Electronics
1298,40,Male,Married,87749,16,Appliances
1299,45,Female,Single,90513,29,Appliances
1300,44,Male,Married,66932,10,Electronics
1301,47,Female,Divorced,80052,16,Appliances
1302,64,Female,Married,95916,1,Appliances
1303,21,Female,Divorced,99135,3,Appliances
1304,61,Female,Divorced,84874,13,Electronics
1305,59,Female,Divorced,51241,17,Electronics
1306,59,Female,Married,56174,15,Electronics
1307,24,Female,Married,109254,8,Electronics
1308,21,Female,Single,48140,7,Appliances
1309,43,Female,Married,62768,19,Appliances
1310,64,Female,Married,36839,12,Appliances
1311,39,Female,Divorced,114040,2,Electronics
1312,69,Male,Married,92991,2,Electronics
1313,24,Male,Married,78655,10,Appliances
1314,33,Male,Divorced,102684,16,Electronics
1315,30,Female,Married,43446,20,Appliances
1316,30,Male,Divorced,97621,29,Electronics
1317,52,Male,Married,46341,27,Appliances
1318,46,Male,Married,67363,21,Appliances
1319,26,Male,Single,40993,22,Appliances
1320,45,Female,Married,51012,16,Appliances
1321,29,Female,Divorced,65755,10,Appliances
1322,35,Female,Married,88893,18,Appliances
1323,47,Male,Single,97286,1,Electronics
1324,33,Male,Married,49313,28,Appliances
1325,22,Female,Married,87340,4,Electronics
1326,46,Male,Divorced,42021,14,Electronics
1327,69,Female,Single,59102,5,Appliances
1328,53,Male,Married,89130,29,Electronics
1329,24,Female,Married,75820,9,Electronics
1330,21,Male,Divorced,33495,24,Electronics
1331,59,Male,Married,84381,12,Electronics
1332,52,Female,Married,36980,25,Electronics
1333,18,Male,Married,81964,13,Electronics
1334,23,Male,Single,95799,12,Appliances
1335,66,Female,Married,79015,2,Electronics
1336,33,Male,Divorced,60903,13,Electronics
1337,28,Female,Single,80615,2,Electronics
1338,44,Male,Married,40696,19,Electronics
1339,49,Male,Married,79140,18,Electronics
1340,48,Female,Single,59430,7,Electronics
1341,31,Female,Married,33694,12,Appliances
1342,43,Female,Married,71770,18,Appliances
1343,21,Female,Divorced,42987,10,Electronics
1344,28,Female,Single,115191,3,Appliances
1345,42,Male,Divorced,73947,13,Appliances
1346,18,Male,Married,49142,17,Electronics
1347,42,Female,Divorced,48035,15,Electronics
1348,34,Female,Married,35020,25,Appliances
1349,68,Male,Single,67601,18,Electronics
1350,68,Male,Single,91925,9,Electronics
1351,47,Female,Single,48191,27,Appliances
1352,36,Female,Divorced,91487,20,Appliances
1353,45,Male,Divorced,88799,22,Electronics
1354,62,Male,Married,110654,20,Appliances
1355,64,Male,Single,30688,4,Electronics
1356,68,Male,Divorced,40384,5,Electronics
1357,53,Female,Married,32490,4,Electronics
1358,60,Male,Divorced,63544,13,Electronics
1359,63,Male,Married,58266,12,Electronics
1360,49,Male,Divorced,49597,26,Electronics
1361,27,Female,Divorced,101932,11,Appliances
1362,30,Male,Divorced,109807,18,Appliances
1363,36,Female,Single,99176,12,Appliances
1364,31,Female,Single,85476,25,Appliances
1365,21,Female,Divorced,44573,5,Electronics
1366,55,Female,Married,67762,7,Appliances
1367,65,Female,Married,61147,20,Appliances
1368,52,Female,Single,69472,17,Appliances
1369,21,Male,Single,45970,13,Electronics
1370,65,Male,Single,36258,17,Electronics
1371,38,Male,Divorced,61252,2,Appliances
1372,21,Male,Married,85027,2,Electronics
1373,21,Female,Single,113748,2,Electronics
1374,55,Male,Divorced,111633,5,Electronics
1375,48,Male,Single,89914,23,Appliances
1376,50,Male,Married,38232,11,Appliances
1377,51,Male,Married,44530,26,Appliances
1378,28,Male,Single,95513,16,Appliances
1379,21,Male,Divorced,108215,17,Electronics
1380,50,Male,Married,100261,15,Electronics
1381,23,Female,Married,32154,5,Electronics
1382,29,Female,Married,112831,20,Electronics
1383,22,Female,Single,97551,29,Appliances
1384,56,Female,Divorced,105372,17,Appliances
1385,22,Male,Divorced,61711,5,Appliances
1386,61,Male,Divorced,48818,11,Electronics
1387,33,Female,Divorced,68177,30,Electronics
1388,43,Female,Divorced,86261,20,Electronics
1389,25,Female,Single,30205,11,Electronics
1390,54,Male,Single,110584,6,Appliances
1391,33,Male,Divorced,76244,13,Appliances
1392,55,Female,Divorced,61531,20,Electronics
1393,56,Male,Single,104798,24,Electronics
1394,20,Female,Single,84600,27,Appliances
1395,57,Male,Divorced,54551,10,Electronics
1396,23,Male,Divorced,117080,19,Electronics
1397,44,Male,Single,117584,11,Appliances
1398,60,Female,Married,41221,17,Electronics
1399,55,Male,Divorced,98614,27,Electronics
1400,54,Male,Married,77265,17,Electronics
1401,51,Male,Divorced,38870,18,Appliances
1402,38,Male,Divorced,98951,16,Electronics
1403,34,Female,Divorced,101313,23,Appliances
1404,31,Female,Divorced,96496,19,Electronics
1405,60,Female,Married,96535,10,Electronics
1406,63,Male,Single,102633,16,Appliances
1407,38,Female,Single,32665,27,Appliances
1408,33,Female,Married,81177,1,Appliances
1409,34,Female,Single,91621,12,Electronics
1410,43,Female,Single,35706,11,Electronics
1411,26,Female,Single,113318,22,Appliances
1412,60,Female,Single,80709,4,Electronics
1413,59,Male,Single,78929,14,Electronics
1414,37,Male,Divorced,63246,19,Appliances
1415,47,Female,Married,32128,10,Electronics
1416,38,Female,Single,76805,26,Electronics
1417,66,Female,Single,38855,29,Appliances
1418,22,Male,Single,75193,24,Appliances
1419,18,Male,Divorced,61604,28,Appliances
1420,47,Male,Single,116127,23,Electronics
1421,57,Male,Single,112346,21,Appliances
1422,54,Female,Married,43587,1,Appliances
1423,24,Male,Divorced,106271,20,Appliances
1424,22,Male,Single,73583,16,Electronics
1425,52,Female,Married,47486,9,Appliances
1426,31,Female,Married,35811,21,Appliances
1427,50,Female,Married,76176,26,Appliances
1428,34,Male,Married,101567,25,Electronics
1429,26,Female,Single,74374,19,Appliances
1430,40,Female,Married,114252,19,Electronics
1431,22,Male,Divorced,52949,8,Appliances
1432,33,Female,Divorced,119742,24,Electronics
1433,41,Female,Single,90899,2,Electronics
1434,36,Female,Married,92722,19,Electronics
1435,28,Female,Divorced,112802,16,Appliances
1436,46,Female,Married,53891,6,Electronics
1437,52,Male,Divorced,47675,17,Appliances
1438,63,Male,Divorced,38270,21,Electronics
1439,37,Female,Divorced,89988,24,Appliances
1440,57,Female,Single,34847,20,Appliances
1441,69,Female,Divorced,68462,25,Appliances
1442,59,Female,Married,56422,27,Electronics
1443,51,Female,Single,35741,13,Electronics
1444,18,Male,Single,56144,5,Electronics
1445,60,Female,Divorced,35492,27,Appliances
1446,70,Male,Single,71365,22,Appliances
1447,53,Female,Divorced,70642,8,Appliances
1448,37,Female,Married,97552,2,Appliances
1449,60,Female,Single,82196,19,Electronics
1450,24,Male,Divorced,101176,23,Electronics
1451,26,Female,Single,92049,4,Electronics
1452,34,Male,Single,63202,7,Electronics
1453,25,Female,Married,34799,1,Appliances
1454,24,Female,Divorced,114790,15,Appliances
1455,65,Male,Divorced,55048,11,Appliances
1456,53,Male,Married,67501,14,Electronics
1457,27,Female,Married,76789,5,Electronics
1458,35,Female,Divorced,36265,14,Electronics
1459,36,Female,Single,115948,23,Appliances
1460,56,Male,Married,73506,7,Electronics
1461,31,Male,Married,65811,14,Appliances
1462,63,Female,Single,46315,17,Appliances
1463,39,Male,Divorced,78237,25,Electronics
1464,31,Female,Single,87272,20,Appliances
1465,61,Female,Married,82431,30,Appliances
1466,58,Female,Single,87637,16,Appliances
1467,34,Male,Divorced,80678,28,Electronics
1468,50,Male,Married,74438,28,Electronics
1469,49,Male,Single,54486,24,Electronics
1470,34,Male,Divorced,95038,24,Appliances
1471,21,Female,Divorced,95211,2,Electronics
1472,23,Male,Divorced,78148,23,Electronics
1473,58,Female,Divorced,98062,5,Appliances
1474,45,Male,Divorced,64959,17,Appliances
1475,35,Male,Divorced,40828,7,Appliances
1476,20,Male,Married,85640,18,Appliances
1477,18,Female,Divorced,40345,11,Electronics
1478,39,Male,Divorced,86440,22,Electronics
1479,67,Male,Divorced,108964,16,Electronics
1480,26,Female,Single,53652,17,Appliances
1481,58,Female,Married,101496,13,Appliances
1482,34,Female,Married,68504,11,Appliances
1483,28,Female,Single,72101,6,Appliances
1484,65,Female,Divorced,43447,15,Appliances
1485,46,Female,Single,40494,30,Electronics
1486,53,Male,Single,72981,18,Appliances
1487,63,Female,Single,116628,11,Appliances
1488,45,Male,Married,68750,18,Electronics
1489,53,Female,Married,70173,12,Appliances
1490,18,Male,Married,88447,22,Electronics
1491,25,Male,Divorced,108986,25,Appliances
1492,22,Male,Divorced,85851,28,Electronics
1493,62,Female,Single,51842,24,Electronics
1494,27,Female,Married,88183,22,Appliances
1495,52,Female,Married,76077,21,Electronics
1496,20,Female,Divorced,88606,26,Appliances
1497,41,Male,Divorced,35551,23,Appliances
1498,55,Female,Married,76210,9,Appliances
1499,53,Female,Married,110589,20,Appliances
